address,balance
0x554C08a1Fec9C187CbabF5A0fc86135DaA879e21,20577
0x605b458B59C0798329a9302Ce6AF10EB04f31d15,5018
0x3E250554BEfB4F68EDfAc0A7f250812FC4B366A2,5018
0xd60060B87f84f1A2A6f63C4B7D69846151c45901,5006
0x23387a63A3Abf8B66726706F5713198410a6e9C7,5000
0x02924477c8ce8faC6e49a5062c95f761de33d175,4946
0xfE8AaFdBF0a3Ef7D0Cf3DD11eaFe0e4A78821b82,4495
0x73b28f6F4326B572fA23EC9837fbDF6C75672d69,2438
0xfe8f6C3C9e286B9361b7f102195374c7EDc95aD0,2400
0xfefEA1e1c929231D17649fA254F7124736b775c7,1541
0xfeadFCe7FB0f85af0Fa120B4BB3c5EAf0d865DEf,1047
0x1CC758cbA8F2f49f92555E9cB4Bd5119bb39D751,876
0xA11f328Bdf8F5d98B89DcF5222c78B735885D6F7,720
0x515ef42549cdC9969C1E7542cA159fAE5DC4d91e,714
0xad69EB0dC07d7657b23C2412B2E6902843C117DE,516
0xfe625b028193256BFB82B2d285B259c71bae1A70,500
0x5189D1F5FdF705C2155d8dD1901F412F54908f2E,476
0x5189D1F5FdF705C2155d8dD1901F412F54908f2E,436
0xfeb8f67389c2447b8a5F687e6121BB2dD604D0a1,432
0x7e94C363054a4e651Baa893f3E0C82a8c7A578C1,415
0x6271d199AF035Dc791d00feb62FbA4cb5C3D2b31,401
0xE9b9bf7A771383B516C946c7e89394889C91e84E,378
0x5189D1F5FdF705C2155d8dD1901F412F54908f2E,355
0x6a76C4E94a97a4D661e9C6bA841536d68B539795,335
0x0D8d78700E23E82b280f57Db10c26b2fF51Cd8cD,298
0x0D8d78700E23E82b280f57Db10c26b2fF51Cd8cD,260
0xc651d8C4D804e4d847c9ac2EbC2EaA7489f763Ac,250
0x5189D1F5FdF705C2155d8dD1901F412F54908f2E,243
0x0D8d78700E23E82b280f57Db10c26b2fF51Cd8cD,241
0x0D8d78700E23E82b280f57Db10c26b2fF51Cd8cD,238
0x0Fe4f67d4440054961C98fCd49B82339b57db949,221
0x77B861dedBB99c8918F274BDC251372619354e8f,210
0xff398908bA5748aaA26349015DC7c30146cC0037,208
0x5189D1F5FdF705C2155d8dD1901F412F54908f2E,207
0x5189D1F5FdF705C2155d8dD1901F412F54908f2E,207
0x77B861dedBB99c8918F274BDC251372619354e8f,202
0x0D8d78700E23E82b280f57Db10c26b2fF51Cd8cD,201
0x0D8d78700E23E82b280f57Db10c26b2fF51Cd8cD,199
0x3a3d10eF59e2c61B6a2607E2d1C2cf3be0C2Dc33,197
0x0D8d78700E23E82b280f57Db10c26b2fF51Cd8cD,195
0x3E4E3848BE243680918d4626cb6Cc8E5529CF29C,192
0xff398908bA5748aaA26349015DC7c30146cC0037,189
0x571d05Feb04da207F8efbC0EC4AB756689812Be8,186
0x77B861dedBB99c8918F274BDC251372619354e8f,184
