address,balance
0x8E0F45EBDb09F0CCBd1961605265d5C12B363030,10
0xeeDE9ACD5BbCd64915078323BDA6216dfb6565ef,9
0x9825e2BC2D3ac081DBe3D02a2eA1cC015E0137DB,9
0xf83719280BA7f4b1e390bb1524ad42b427c80F4E,8
0xD6a3B779850Fc5fd22900263d212bfE9EaEe37E3,8
0x9De93073243812A92965fdb16e413EBA04b27c20,5
0xCBb659774bFaE5071C5bb2f96ebA5323Ae4f996F,4
0x50495946033EcBC8699c526cd8A5F9C6E420c0d6,4
0xd286BE74Ae42c5fd5f25c21FFfBE1DFEBFC63510,3
0x9ac178571187A40BEF7c5Cb61dFC3D26c7e3F571,3
0x71535AAe1B6C0c51Db317B54d5eEe72d1ab843c1,3
0x660255Af9Aa0300BB168DCe9Db30A7Baaa88C751,3
0x3D8cFaF9645Cb665858a1529fcEe81FC8870e512,3
0x3bd59eD16c462b4464091830DAB828dce079076f,3
0x067A8C78463e2CbA1819386c7d894650dbe17733,3
0xea4cAdfB240057cb132D2A088281CE4B755C13b5,2
0xe9eDfB33924B5B812350E135493680F8A9E3A2dF,2
0xe6679DB187A025DB3fbb0860db29884771cAC0B2,2
0xdbeA9bD1A70Ac62102291fb3446424064948EDfA,2
0xDb50fC5E275Aa5d3CF7D31c6E101Db5f19227539,2
0xa41E79498DA7Bc115Db003c3D2a569987ce32D7B,2
0xa1AAe64b8C98045771cc7f450c98C989e0b373Cf,2
0x9fF12D0Aa891B40D1A999A781FBa8e796885D791,2
0x84F14f17bc7975D1D359d2A64Be98820e919650b,2
0x837Ba81662500bfBBF926a6967df6Fac60253B04,2
0x7Ef2F7af07a2185465875C1Fc099f8A8E38A84cD,2
0x79D26BbdF03dD196f70A807e0bF84C4b2f10FAb1,2
0x72D1BEFB45C38e2c137FA30c5e222CCD3629c110,2
0x64eaccB62A35Eb791cF79a2beC40e902dD99902c,2
0x60edaCED9D7a45c793B1f280aC6D189aaCB66991,2
0x5cAd4c2CDD19a55cB545229698b8953060fDD2D9,2
0x5c28c2A0B9f40ae709Ac91B84e053E8B1a72b59e,2
0x570b86aC7E3cB18A1bc9506F6Ecb7fF724D284fa,2
0x4438DAf6863175D0eBc8Bb828D890dA9895c36e6,2
0x42fb27a00aC4dbD01B2CDe886126Ee206d9F89a7,2
0x42Dac4c72EEe97baeE3bBacc7102790a7a1800Ee,2
0x40EaeAbcB854611162e948F8cc5863806F9Abf9f,2
0x37b2a3F8Eb9a41B72F4410e679035D0B28F95185,2
0x2FBc45b6575767B4900D24cB18523Ffd2A3f6152,2
0x2895eE26E7Bfa1c52b5EeD67AdBEeD01a0e21d8E,2
0x1aB89De00F039d9De0E17cd1F1A5E7372C475aC3,2
0x129DdF9c3958D5ae6A5A61a40110bEB8D7ca8E7d,2
0x04B9c7f17D3661fB98DfdB62f291f6f52adA1f0b,2
0x0424e057c2D0bC7e58C75975AAF38BF1e598cd49,2
0xFf672B72F6A14ed06d49cD728c30FdbCAa077240,1
0xfEC62b5ECdbe31d6309A4410A9ba85BD81A494Ec,1
0xFea5FEC74d592a12094A478fAa7884fF1167e90e,1
0xfEA4c5A224D02b411b6B5217C075275dB79DDD1c,1
0xFe7139aD41Ff17BBf650E4f3aB4a901ca7b6f461,1
0xfDfC50E371ecFEB94d5eCcf618357F4c447A99F0,1
