address,balance
0x7f3cd5Da54b7Aaf26Fe2EeCDbc394BD4d05B5226,93
0x6C706335e2AE648B084985E14ad5Fb2A11005168,91
0xB11356D14b429E3Dbad0A22a1fDadC3f63Ac6Ad3,70
0x1724587ca51042AEa7c2488dB83bd89c018F1C4C,66
0x660255Af9Aa0300BB168DCe9Db30A7Baaa88C751,60
0xd3dE1f8Aa8e9Cf7133Bb65f4555F8f09cFCB7473,55
0x570b86aC7E3cB18A1bc9506F6Ecb7fF724D284fa,40
0x1aB89De00F039d9De0E17cd1F1A5E7372C475aC3,38
0xc2C74D156DC2f614416D70541A59100e3fbFC4fF,37
0x31E78bB913861cA8Cc944E5D6cA246d077c2fAA0,33
0x739dC8f3045F6ad394C62ED3Ef043E8cE1ae2E1b,32
0x3e1156e1f5bFbdCF963883281Fa87723a5EE1e51,32
0x53Fa1285447f0e5c4123bAfc889bC6e0a1eDB476,30
0x88829b6cFbd56148DBc170C11ff935DEB76EB55C,27
0x397CB0F843472F8Ad52E44bF811c608dfD09EE4c,24
0xD4fe6bc042e989644cFC8F1b0972E74dCbbffBC4,23
0x1E5CE6F088fD0adb4fCFf31Cfb02A61503311bE9,23
0x0D8d78700E23E82b280f57Db10c26b2fF51Cd8cD,21
0xD908bc3386F6e243195B47AC65AE505423Dc4a13,19
0xAaA020747C3F27035A803a2A9B577E76Ed5Cdfc7,18
0x94a03Ec62517BfE865C161190FF3400B9336cA32,17
0x619d02A92e1ce20AF7860eDEa866FE18537584E5,16
0x9F229A2259d8246dF5f9B465d0BDd5E373e50006,15
0x817A322D652Ad609986c56EeBD3375fb9F0462A2,15
0x48BD7f6658A7098B83b51b1b6E7A509e382D8aCf,15
0xD6a3B779850Fc5fd22900263d212bfE9EaEe37E3,14
0x51F51EB0df06b41C9F9454dc2a50bdB34E18afcB,14
0x20a53930f8C16700c5Da9cD94dbfbB6aE34b23B7,14
0x5B8A42Fc0C151Aa7f4F764B805AbEa1fC3516921,13
0x571d05Feb04da207F8efbC0EC4AB756689812Be8,13
0x12a38c1754051093FBa9AB98326EC46Fd0e9547e,13
0xfd3f412fc20b7ED21740786F097322b679331779,12
0xeeDE9ACD5BbCd64915078323BDA6216dfb6565ef,12
0xa4854578871297797aFd2dDD0F2fA69FC01e72eA,12
0x9fF12D0Aa891B40D1A999A781FBa8e796885D791,12
0x0Aba0b05a51CfA00d7b7bF2f8793AE052779df78,12
0xF628Aac433cf91F4e0dFaaDb20E6c53aD2d21fDB,11
0xcde03566d2d324bC2Fe22581E4D9506779E1e451,11
0x40EaeAbcB854611162e948F8cc5863806F9Abf9f,11
0xEB189E872D3FD10801A535254EcDEe37a3aF61db,10
0xB5BA78fD6a7dc65C35de44e0f1212361CE3977b0,10
0x86c16F44BC75851a9E2E16e28366aDD78169fEA9,10
0x71535AAe1B6C0c51Db317B54d5eEe72d1ab843c1,10
0x6516DEDe38F2E0791FeFD07c2E550dF3C87E10eE,10
0x40b0afcC0045B3624ec345123b60EA58e0124255,10
0x2B11d5406142Cea7d390863be92698fE184489e7,10
0xFf14c98D493223e706F442209bD646f01148Bbcc,9
0xDf73dBE9020FD06e52644f4bBc8eD449Db29aBd2,9
0xD3Ae3C8E2700eEc76A9823d6a4bC4e11b22Adb28,9
0xC1D0BAd29d021fe2b0698ce5c171Bd80185d5d6B,9
0x638bDEbdb49AD0a9e8E08a8158E3d552A4082f1f,9
0x60bdAee2A58d8A6f9299E87CAcb381F3604DB183,9
0x10e4718a133c5Ebc546FF319201cF709F6BeCfF4,9
0x0B8170AbC9822b5BeE50c1E4c8eA7157a827Edc7,9
0xf83719280BA7f4b1e390bb1524ad42b427c80F4E,8
0xdE54139d9592128EE73B5F8f72e8d0A8DCAA5191,8
0x8E0F45EBDb09F0CCBd1961605265d5C12B363030,8
0x6198e868B887Dd2dB6daEe42eE49154A8ac5B754,8
0x53695fAE79A11f1E91AacB73eA37E36a8C09Baba,8
0x387cc51d78AE9713280D5eF39a6144C8e69b8C4B,8
