address,balance
0xb44357B67286FF199624e9Fe061E90a7C0D32eEd,205
0xDCe65cdD8f3ED8fEd077286fA333FCfd543F4c23,82
0x570b86aC7E3cB18A1bc9506F6Ecb7fF724D284fa,77
0xF04D1E198C6C2319abA0a9061BdFbeaCbc0c13c6,69
0x8E0F45EBDb09F0CCBd1961605265d5C12B363030,68
0x657Fe29aA6f728d8D8b8129E5Dc5041361b4Fc18,49
0x59438CA44Cb81876D9B31A75eF734A6566a05D7c,35
0xB8C53FDB2ED1Ef8a7107918bD4B22Ee1e07e3841,32
0xBde0FA1a8f76Fe41546868cd3957d056cdf4D4Ec,31
0x23b67Ed97D3e37a286FAA7573bc74eBe55bcD6e0,31
0xA7c88205a332fA1942c58a91e3fd6525A096F214,28
0xCE792B03A39264A56bD136d07B61aED61CD110C6,20
0xe746d9961ba2d7d6B7074efEc77908C05d51665F,17
0x054c3f238FD1530de48eDd9BF88bbF66f4Ae4981,17
0x6bE410BB33133469cd7F67e54163FF3d4deEaeA0,16
0x129DdF9c3958D5ae6A5A61a40110bEB8D7ca8E7d,16
0xE4efc69E12057bA39041813B0A0AC1e5282fd8a4,15
0x4F0De440a4039Be1F2aCC1414b35a2dD7Dda0845,14
0x059576e052FdA76df317771FfDfb6663D1509E04,13
0xaFAA188Ba59D8b7950C6B287Bb11E77759da714A,12
0x1c0AA0fe5938135F2FCA83Edd3219d24CE5119D8,12
0xD989982Bd82760aea5B536819B186435BC452cD0,10
0x94B4D1a7cF4D46e5F52C7f5B6E7e63926fBE6d73,10
0x783ea3de8E633e75291a035A2046CDcE4AC0A67b,10
0x60bdAee2A58d8A6f9299E87CAcb381F3604DB183,10
0xBd89188cb6350f5252997589389C42b940A9b012,9
0xa2738B241327B9062913af2879A2b2063b1fe73c,9
0x7287Ba6e4276985776E5A14b432A150Ca00688b3,8
0xEf5002AD8D948bB235FFe5577A8ff0B728284583,6
0xcF2404909Df9ef2783f2992b5107363e6bE20578,6
0xb0e8af8DDc8480789B37f90689c5BBBa2139804C,6
0xaFAedF0D04D7327CE782562aDB5cED26D81278d3,6
0x7E661ac52e2578d56EEEC231016c7B4DC0A73B75,6
0x79C9384595b07a991850CE990FEd9507d97d30ED,6
0xEfEe9A62E9742382dF8489543D9c6fD1920D55EF,5
0xeE3da744387A7e17c0645a7fa45Ca088bAd2Fb4D,5
0xDA1eaa6D6BA271B1FB9e5d014FdBff6326d26aF6,5
0x8cB1F920e437791A97443cC81b62476120D30e40,5
0x88829b6cFbd56148DBc170C11ff935DEB76EB55C,5
0x837Ba81662500bfBBF926a6967df6Fac60253B04,5
0x7e575A01D07197009433BbB273f7773CB6649fb9,5
0x7C1d54cdF93998dD55900e4e2FAFC555DFe2cB3a,5
0x7B177325DC386A68AA155b47416eDAb27A20D684,5
0x54a5A5e2D28fd521Eb42Eb8A8dD7fd1E9C3a8964,5
0x461782b43fD53B4B689E5c45c7C64565451F0c91,5
0x26EAC6CEc729CE348110ab82543B685444266542,5
0x134A8cf663A8ca0eFBe0d2A24C4915216D5a3a68,5
0xC3C291C4841321b16651a657c35fEbb420afD1a1,4
0x9ed52114a963f2f97B3f0CAa72BFF0963F806108,4
0x8cE6Cf23c18202Fbb9b1206B596Ed58DaE30cb13,4
0x8697BdeE7B35fF16F20c6A01B65F37702Eed0eEA,4
0x7F69f553C0c8cA5E1B0674382dAd3A40948b04FA,4
0x796D36fb55b9A5406EB5cD74FB754759EaFc66BD,4
0x73cBE37f25A8DBdD3aef0FCC999a530c2D44689D,4
