address,balance
0xB08e1C6E547E7b764186Da0B906740401eB8BC6D,20
0x79C9384595b07a991850CE990FEd9507d97d30ED,17
0xD3Ae3C8E2700eEc76A9823d6a4bC4e11b22Adb28,16
0x9DDCF125d16467bAC82577c618699EbB0918d3Bb,16
0x404A2556829d1Ae9bEE1F9DA7500c3695104357A,16
0x28703C5eB87d7e10dE57a80A58bc6108187B0060,16
0x0C126B19Cc44bab71d50Ef8b752b2aBC548d3364,16
0x42Dac4c72EEe97baeE3bBacc7102790a7a1800Ee,14
0xbB63203FA253B667F1d8D591954F5a14ba5613E2,12
0x2FBc45b6575767B4900D24cB18523Ffd2A3f6152,12
0x87529b411BDB01577b81e6f67683Daf59c85D751,11
0x5a61dd9A663a868144660F5fB7Dc8dB68F0500Fb,11
0xFe7139aD41Ff17BBf650E4f3aB4a901ca7b6f461,9
0xfdbd99FC971f9E0732CA87E4633eadC7BADE5188,9
0xfae880ADdFdF2CC475606471C89d47E22D1e11Fb,9
0xEd9510cEC2246E55E3191971c886728aC8e50C32,9
0xdbeA9bD1A70Ac62102291fb3446424064948EDfA,9
0xd51D49A1a67AB4ED75825D1F8a99b1c794e4A164,9
0xD292EC4d3125383d72cF5833c0c7C6977acD691E,9
0x9ac178571187A40BEF7c5Cb61dFC3D26c7e3F571,9
0x9a990b564232a4cAaD6f06E860613afB4f7a6e3C,9
0x837Ba81662500bfBBF926a6967df6Fac60253B04,9
0x72D1BEFB45C38e2c137FA30c5e222CCD3629c110,9
0x68911e58f65062066abc81559a6DEf797402f345,9
0x660255Af9Aa0300BB168DCe9Db30A7Baaa88C751,9
0x56E9bFF1f4A02Db646D6640548eCd5061dDc0912,9
0x54e917896C2a7Bd38243De99C75Aecd702Bc1106,9
0x54C91a6ccAFE8083DAB1B63d33A67470c9F81676,9
0x506e211e2597e7697309A532cB6227a0b559032B,9
0x4f0188Ee7490146D9e92F35F86e825AaBd05cA8d,9
0x468B609Cb13Eb1126260f91cD4FC22F98ea499Ec,9
0x3CF5A54cA70e2be24B481e142B4fC265656adEed,9
0x38A564A38Be5DFb6eF2AB765dA1e4397d03C2D62,9
0x281058Cc98e8c85D078585eDB508898667AC4043,9
0x228fefc57eecB4E94aeB1cdF9e9507ccf5Cdf67f,9
0x1aAB36b015c754b6dB7f241E0Bf5eDcF178419b8,9
0x129DdF9c3958D5ae6A5A61a40110bEB8D7ca8E7d,9
0x0D8d78700E23E82b280f57Db10c26b2fF51Cd8cD,9
0x0829CA409fc92Ac16A9749033cCcFD094bDA2bBf,9
0xFf672B72F6A14ed06d49cD728c30FdbCAa077240,8
0xff12faF1b14b3Bd54268f9D23D243F36b2CC8a94,8
0xf85d9492073996583AAE8bB15DB9bB411E574E6d,8
0xf83719280BA7f4b1e390bb1524ad42b427c80F4E,8
0xF53eEeEAD686776043a4557e2342e3C415411733,8
0xF4b0d517f671A01dc90dFBA3c4402B117b0A7ADd,8
0xF26E97b83AE4A7dE4e23710B693584eA3d9212E7,8
0xf1DFC8E85B36b99D7b0f517a17f811C08ce75394,8
0xf11A3F67D1B08E57A97aD5Df4fe7532EEc0dC589,8
0xEFFa0B6B2Ed1A91c14c281F23eAbc4e2d7Ff6FCf,8
0xeeDE9ACD5BbCd64915078323BDA6216dfb6565ef,8
0xEE889769F463e00a4fE642B78A191245127cBbbC,8
0xEdcCDaF7BD5AfC585911700772E1155a3191d9d4,8
0xeDAcc663C23ba31398550E17b1ccF47cd9Da1888,8
0xecb97c17d9cD6adD9d02B6610058A230eaE5e766,8
0xec9122bbf7a603c1B4BC3397d5806c6a057f860d,8
0xEB0B702F0158623a7e8772D628E3388Eb957326a,8
0xE4E75D7dF7fE0CfDfAc5fa0C1E4EB184d5Ef614C,8
0xE3E8a61611893A3161487A758d7868D2F25fEB18,8
0xE33e4EfDe8df32601EB1fEe1F26F55752EFf757C,8
0xE23EBd49a2ed45C4775B14D416F0Be6049890d37,8
0xe223c05FA8C4c010d97649aD24009c722F0B3ee3,8
0xE0aeD5f5ea5AD990E6F8F2c1b3dBaA49E367CfC4,8
0xdB12b0A826d10ecca7a783caA1dAa508AFBD6Da9,8
0xd76bB40d855dece19de5D84a6a42a07F2B82fe72,8
0xD738fc40C5615b9847D25413921f02CfA9BC45FA,8
0xD49d5DEf53C39e981BBE947A1921834Ecc2Ab1E8,8
0xd4806886f7AAfbCcA31aB31F460a0f6460957594,8
0xd418b90F7b1B69f0f27DE5c26c06B023af861CFB,8
0xd35feE0047e11A317cbbcb3eC61B16de5a711deC,8
0xd2816CBd395C9003341B77e686d65A3bA6375d4B,8
0xcDE45689c097B6034518557daF5384962DFCbf2E,8
0xC66682aB91208E7C88b139177540382118077fD4,8
0xC5927B30b4a1fD9Af0A00c8869D6Fde6D2031134,8
0xc523f4Bbd8791842D8e8e0b24eB98718B9f5764c,8
0xc1E7CA17274C36a3358460F93ce30200916688b6,8
0xc1D9c776Ef4BA56026bB47F16e36C6A4bdAB7d9E,8
0xbF263dC8676850Ad98F20A47c0FCBCc2beD1dA89,8
0xbB4a8416079d1854b1591e6B87D680F85d9c7d8b,8
0xBAedB65dc731720441aD113aD316B4c1DD402407,8
0xB74a8764614DFdD08d6Ac835E791Dbddf393Fdc2,8
0xB5462e14432E27A63CDA06Cf7a0595Bfed600AA1,8
0xB49509ac32eacb3a7F4Ea8C8B6C7c67e65E12B6D,8
0xB48a48C44A91e1409CC58581628a304F513bcBD1,8
0xB39b546304DEB796244da9C7cf306e4b987055E7,8
0xb1371C57dc2C1b8e28157DBB9d83097072741af6,8
0xaFAA188Ba59D8b7950C6B287Bb11E77759da714A,8
0xaf50942A6552333a69f736a00aAf7D5f57E764E1,8
0xad355a5e5742a832099eDDed45A9593d512482ED,8
